judul,kategori,tanggal_upload,waktu_upload,link_berita
kim da mi akui nyaman main drama bareng choi woo shik di our beloved summer,hype,29/01/2022, 13:27 WIB,https://www.kompas.com/hype/read/2022/01/29/132710566/kim-da-mi-akui-nyaman-main-drama-bareng-choi-woo-shik-di-our-beloved-summer
teori awan debu,skola,29/01/2022, 13:23 WIB,https://www.kompas.com/skola/read/2022/01/29/132344669/teori-awan-debu
"setelah persib, psm makassar umumkan kasus positif covid-19",bola,29/01/2022, 13:23 WIB,https://bola.kompas.com/read/2022/01/29/13232308/setelah-persib-psm-makassar-umumkan-kasus-positif-covid-19
undang-undang lalu lintas perlu direvisi untuk berantas truk odol,otomotif,29/01/2022, 13:22 WIB,https://otomotif.kompas.com/read/2022/01/29/132200715/undang-undang-lalu-lintas-perlu-direvisi-untuk-berantas-truk-odol
"lowongan kerja mitsubishi motors untuk lulusan s1, cek syaratnya",wiken,29/01/2022, 13:21 WIB,https://www.kompas.com/wiken/read/2022/01/29/132132681/lowongan-kerja-mitsubishi-motors-untuk-lulusan-s1-cek-syaratnya
one piece tampilkan patung yamato,hype,29/01/2022, 13:17 WIB,https://www.kompas.com/hype/read/2022/01/29/131737666/one-piece-tampilkan-patung-yamato
514.910 orang di dki jakarta sudah dapat vaksin booster covid-19,news,29/01/2022, 13:16 WIB,https://megapolitan.kompas.com/read/2022/01/29/13161951/514910-orang-di-dki-jakarta-sudah-dapat-vaksin-booster-covid-19
lowongan bumn bio farma bagi lulusan d3 dan s1,edukasi,29/01/2022, 13:13 WIB,https://www.kompas.com/edu/read/2022/01/29/131350771/lowongan-bumn-bio-farma-bagi-lulusan-d3-dan-s1
5 cara bikin bolu kukus mekar dan tidak bau amis,food,29/01/2022, 13:13 WIB,https://www.kompas.com/food/read/2022/01/29/131300375/5-cara-bikin-bolu-kukus-mekar-dan-tidak-bau-amis
"tanpa atraksi barongsai, kelenteng di pangkalpinang sediakan sembako bagi warga lintas agama",regional,29/01/2022, 13:12 WIB,https://regional.kompas.com/read/2022/01/29/131212878/tanpa-atraksi-barongsai-kelenteng-di-pangkalpinang-sediakan-sembako-bagi
"4 rumah hangus terbakar di tebet, 25 orang diungsikan ",news,29/01/2022, 13:10 WIB,https://megapolitan.kompas.com/read/2022/01/29/13104901/4-rumah-hangus-terbakar-di-tebet-25-orang-diungsikan
tips membawa kucing bepergian agar merasa nyaman,homey,29/01/2022, 13:09 WIB,https://www.kompas.com/homey/read/2022/01/29/130900676/tips-membawa-kucing-bepergian-agar-merasa-nyaman
g20 bakal turun tangan urusi utang negara miskin,money,29/01/2022, 13:07 WIB,https://money.kompas.com/read/2022/01/29/130700726/g20-bakal-turun-tangan-urusi-utang-negara-miskin
7 tempat wisata sekitar puncak argapura ketep pass magelang,travel,29/01/2022, 13:06 WIB,https://travel.kompas.com/read/2022/01/29/130600727/7-tempat-wisata-sekitar-puncak-argapura-ketep-pass-magelang
"jaga-jaga perang rusia-ukraina, as segera kirim pasukan ke eropa timur",global,29/01/2022, 13:06 WIB,https://www.kompas.com/global/read/2022/01/29/130600170/jaga-jaga-perang-rusia-ukraina-as-segera-kirim-pasukan-ke-eropa-timur
disleksia,health,29/01/2022, 13:05 WIB,https://health.kompas.com/penyakit/read/2022/01/29/130500268/disleksia
jangan pernah meninggalkan anak sendirian di mobil,otomotif,29/01/2022, 13:02 WIB,https://otomotif.kompas.com/read/2022/01/29/130200215/jangan-pernah-meninggalkan-anak-sendirian-di-mobil
